N. N_visited
1, 0
2, 1
3, 2
4, 1
5, 3
6, 3
7, 2
8, 3
9, 4
10, 4
11, 5
12, 4
13, 5
14, 3
15, 6
16, 7
17, 5
18, 5
19, 6
20, 4
21, 6
22, 8
23, 7
24, 4
25, 5
26, 5
27, 6
28, 6
29, 6
30, 6
31, 7
32, 2
33, 2
34, 8
35, 8
36, 8
37, 8
38, 4
39, 9
40, 9
41, 5
42, 9
43, 6
44, 5
45, 7
46, 5
47, 6
48, 7
49, 3
50, 8
51, 4
52, 6
53, 6
54, 7
55, 7
56, 7
57, 6
58, 9
59, 10
60, 11
61, 5
62, 6
63, 10
64, 3
65, 9
66, 7
67, 4
68, 8
69, 9
70, 10
71, 6
72, 8
73, 7
74, 10
75, 11
76, 7
77, 7
78, 12
79, 12
80, 9
81, 10
82, 9
83, 7
84, 8
85, 10
86, 4
87, 6
88, 10
89, 8
90, 13
91, 8
92, 4
93, 11
94, 11
95, 7
96, 8
97, 7
98, 7
99, 10
100, 12
